Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
PAG,Penske Automotive Group Inc,"1,602",216,"1,818",23,79,70,9,
LGIH,LGI Homes Inc,785,"1,029","1,814",23,79,34,45,
SBAC,SBA Communications Corp,"1,266",547,"1,813",23,79,55,24,
BKS,Barnes & Noble Inc,"1,327",476,"1,803",23,78,58,21,
IDRA,Idera Pharmaceuticals Inc,704,"1,096","1,800",23,78,31,48,
UHS,Universal Health Services Inc,"1,061",738,"1,799",23,78,46,32,
ADC,Agree Realty Corp,473,"1,315","1,788",23,78,21,57,
KRO,Kronos Worldwide Inc,"1,335",450,"1,785",23,78,58,20,
CARB,Carbonite Inc,959,820,"1,779",23,77,42,36,
FSC,Fifth Street Finance Corp,"1,660",118,"1,778",23,77,72,5,
UTHR,United Therapeutics Corp,"1,323",452,"1,775",23,77,58,20,
ALR,Alere Inc,"1,097",674,"1,771",23,77,48,29,
MTOR,Meritor Inc,885,886,"1,771",23,77,38,39,
ARRS,ARRIS International PLC,407,"1,357","1,764",23,77,18,59,
LSCC,Lattice Semiconductor Corp,"1,643",120,"1,763",23,77,71,5,
APD,Air Products & Chemicals Inc,786,971,"1,757",23,76,34,42,
BJRI,BJ's Restaurants Inc,599,"1,146","1,745",23,76,26,50,
PZZA,Papa John's International Inc,731,"1,008","1,739",23,76,32,44,
LQ,La Quinta Holdings Inc,"1,727",10,"1,737",23,76,75,0,
AER,AerCap Holdings NV,"1,509",224,"1,733",23,75,66,10,
RARE,Ultragenyx Pharmaceutical Inc,875,857,"1,732",23,75,38,37,
CHKP,Check Point Software Technologies Ltd,664,"1,065","1,729",23,75,29,46,
FTNT,Fortinet Inc,919,806,"1,725",23,75,40,35,
BC,Brunswick Corp/DE,"1,403",303,"1,706",23,74,61,13,
GRA,WR Grace & Co,"1,291",408,"1,699",23,74,56,18,
VNDA,Vanda Pharmaceuticals Inc,"1,589",108,"1,697",23,74,69,5,
PTC,PTC Inc,"1,167",527,"1,694",23,74,51,23,
UN,Unilever NV,"1,372",313,"1,685",23,73,60,14,
AKRX,Akorn Inc,395,"1,288","1,683",23,73,17,56,
CMA,Comerica Inc,"1,151",530,"1,681",23,73,50,23,
MPLX,MPLX LP,"1,242",438,"1,680",23,73,54,19,
ZEN,Zendesk Inc,565,"1,107","1,672",23,73,25,48,
DOX,Amdocs Ltd,"1,012",658,"1,670",23,73,44,29,
RGR,Sturm Ruger & Co Inc,877,791,"1,668",23,73,38,34,
CRR,CARBO Ceramics Inc,"1,297",369,"1,666",23,72,56,16,
DEPO,Depomed Inc,763,896,"1,659",23,72,33,39,
